City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Ciudad Guayana,VE,78.53,broken clouds,8.3533,-62.6528,Hotel Las Americas
8,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
9,Taoudenni,ML,89.87,broken clouds,22.6783,-3.9836,
13,Bubaque,GW,80.91,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
16,Jhelum,PK,81.54,clear sky,32.9331,73.7264,Tulip Riverside Hotel And Restaurant Jehlum
20,Chumphon,TH,80.6,overcast clouds,10.3333,98.8333,สกาน จ๋า.
24,Sao Filipe,CV,77.77,scattered clouds,14.8961,-24.4956,Hotel Xaguate
27,Lakhipur,IN,85.41,few clouds,26.0299,90.3041,Rajdhani Hotel
28,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le four à pain
31,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
35,Carutapera,BR,77.54,clear sky,-1.195,-46.02,Lidera
48,Gigmoto,PH,85.19,overcast clouds,13.7796,124.39,Cj's Travellers Inn
50,Victoria,HK,87.96,scattered clouds,22.2855,114.1577,Mini Central
51,Aswan,EG,76.41,clear sky,24.0934,32.907,Nuba Nile
58,Bengkulu,ID,81.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
60,Abu Kamal,SY,80.65,clear sky,34.4506,40.9171,البوكمال
61,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Tual,ID,82.67,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
63,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
68,Saint George,US,76.24,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
69,Manado,ID,81.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
73,Banda Aceh,ID,82.78,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
74,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
75,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
77,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
81,Karratha,AU,87.3,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
83,Atuona,PF,76.19,light rain,-9.8,-139.0333,Villa Enata
84,Hobyo,SO,79.72,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
88,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
89,Hua Hin,TH,86.02,few clouds,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
97,Touros,BR,76.53,clear sky,-5.1989,-35.4608,INN NEW HORIZON
98,Thinadhoo,MV,81.25,scattered clouds,0.5333,72.9333,
116,Lorengau,PG,85.24,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
117,Hirara,JP,84.06,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
119,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
122,Bowen,AU,78.69,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
128,Marsh Harbour,BS,80.76,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
135,Sinnamary,GF,77.7,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
137,Townsville,AU,83.28,few clouds,-19.25,146.8,Rydges Southbank Townsville
139,Puerto Escondido,MX,79.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
144,Bull Savanna,JM,76.05,broken clouds,17.8868,-77.5902,Big Red's
148,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
152,Nabire,ID,86.88,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
156,Sibolga,ID,85.1,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
158,Garissa,KE,76.82,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
161,Namatanai,PG,83.84,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
167,Martinez,US,75.06,clear sky,38.0194,-122.1341,Best Western John Muir Inn
170,Samarai,PG,83.71,broken clouds,-10.6167,150.6667,Nuli Sapi
171,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
175,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
178,Hithadhoo,MV,81.3,scattered clouds,-0.6,73.0833,Scoop Guest House
182,Toamasina,MG,78.8,scattered clouds,-18.1667,49.3833,Hotel H1
188,Woodland,US,75.97,clear sky,38.6785,-121.7733,Hampton Inn & Suites Woodland-Sacramento Area
193,Maraa,BR,78.37,broken clouds,-1.8333,-65.3667,
194,Champerico,GT,80.28,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
195,Ballina,AU,77.77,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
197,Weligama,LK,84.0,overcast clouds,5.9667,80.4167,Weligama Bay Resort
198,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
204,Sakakah,SA,78.37,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
208,San Juan,AR,76.39,few clouds,-31.5375,-68.5364,Hotel Provincial
211,Jashpurnagar,IN,79.21,broken clouds,22.9,84.15,Sagar Restaurant
212,Araouane,ML,89.91,scattered clouds,18.9048,-3.5265,
213,Nishihara,JP,82.45,broken clouds,26.1842,127.7558,Minshuku Agaihama
217,Caucaia,BR,80.04,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
220,Niono,ML,80.22,broken clouds,14.2526,-5.993,Hôtel Campement
225,Airai,TL,79.05,clear sky,-8.9266,125.4092,
227,Kloulklubed,PW,88.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
228,Mount Isa,AU,89.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
229,Sangod,IN,79.21,light rain,24.9167,76.2833,krishan sharema
230,Suba,PH,84.06,light rain,10.8438,121.0102,Jarnchi Pension House
243,Carnarvon,AU,77.76,clear sky,-24.8667,113.6333,Hospitality Carnarvon
244,Faanui,PF,77.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
245,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
251,Cockburn Town,TC,83.23,few clouds,21.4612,-71.1419,Osprey Beach Hotel
253,Itoman,JP,83.17,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
254,Humaita,BR,79.29,broken clouds,-7.5061,-63.0208,Corrêa Hotel
261,Codajas,BR,78.44,scattered clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
263,Ambilobe,MG,80.69,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
265,Progreso,MX,77.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
267,Biak,ID,82.89,broken clouds,-0.9131,122.8766,Penginapan Kim
269,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
274,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
276,Labuhan,ID,89.13,overcast clouds,-6.8844,112.2051,DoubleFAG
277,Marawi,PH,78.69,overcast clouds,7.9986,124.2928,Derogongan Residence
286,Kaohsiung,TW,87.75,broken clouds,22.6163,120.3133,御宿商旅-中山館
287,Yanam,IN,79.86,overcast clouds,16.7333,82.2167,The Regency Hotel
288,Sabya,SA,89.22,overcast clouds,17.1495,42.6254,Aseel Hotel Apartment
289,Pochutla,MX,76.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
293,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
294,Tura,IN,84.11,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
295,Tessalit,ML,81.82,clear sky,20.1986,1.0114,
296,Harper,LR,75.99,broken clouds,4.375,-7.7169,Screensaver
305,Diu,IN,85.3,broken clouds,20.7141,70.9822,Hotel Relax Inn
310,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
312,Dayong,CN,84.25,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
314,Gouyave,GD,79.57,scattered clouds,12.1646,-61.7296,Rumboat Retreat
316,Oriximina,BR,80.96,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
317,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
325,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
326,Dingle,PH,85.15,very heavy rain,10.9995,122.6711,SEGAYA PROPERTY
327,Sandakan,MY,87.48,few clouds,5.8402,118.1179,Hotel Sandakan
329,Coari,BR,80.28,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
330,Celestun,MX,77.05,few clouds,20.8667,-90.4,Posada Lilia
337,Ghugus,IN,83.5,broken clouds,19.9333,79.1333,Rajiv Colony Tempo Club
341,Nouakchott,MR,77.63,scattered clouds,18.0858,-15.9785,HOTEL IMAN
349,Baghdad,IQ,80.51,clear sky,33.3406,44.4009,Baghdad Hotel
352,Pizarro,CO,76.3,moderate rain,4.9533,-77.366,Hotel Limonar
353,Coahuayana,MX,76.5,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
356,Marabba,SD,81.05,overcast clouds,12.35,32.1833,
358,Mangaluru,IN,85.06,scattered clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
361,Meulaboh,ID,79.12,overcast clouds,4.1363,96.1285,Kost Pria
364,San Patricio,US,78.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
365,Mekhe,SN,79.72,overcast clouds,15.1097,-16.6218,Ma maison
367,Safaga,EG,76.6,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
370,Kandrian,PG,85.77,broken clouds,-6.2167,149.55,Kandrian Station
374,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
377,Adrar,MR,85.37,scattered clouds,20.5022,-10.0711,
379,Merauke,ID,83.39,broken clouds,-8.4667,140.3333,
387,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
394,Bambanglipuro,ID,80.8,overcast clouds,-7.95,110.2833,Puri Brata
401,Vanimo,PG,85.8,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
404,Maningrida,AU,90.0,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
405,Dicabisagan,PH,86.52,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
409,Mae Sai,TH,87.69,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
410,Kunda,IN,86.97,broken clouds,25.7167,81.5167,Girja Sankar And Arvind gupta
412,Acarau,BR,77.5,clear sky,-2.8856,-40.12,castelo pizzaria
414,Luganville,VU,81.3,few clouds,-15.5333,167.1667,The Espiritu Hotel
421,Morant Bay,JM,82.02,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
423,Porto Nacional,BR,75.2,few clouds,-10.7081,-48.4172,Vila Real Hotel
424,Sorong,ID,84.76,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
438,Lazaro Cardenas,MX,77.14,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
441,Mairwa,IN,82.51,overcast clouds,26.2333,84.15,Santosh Singh
442,Podor,MR,80.87,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
443,Rock Sound,BS,82.78,scattered clouds,24.9,-76.2,Pink Corral Bay Property
444,Sabang,ID,80.11,overcast clouds,5.8933,95.3214,Hotel Citra
448,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
449,Andros Town,BS,78.76,clear sky,24.7,-77.7667,Hanks place
452,Mitsamiouli,KM,79.09,few clouds,-11.3847,43.2844,Foyer ADM
462,Simbahan,PH,83.41,scattered clouds,6.3032,120.5836,
465,Constancia,MX,75.45,clear sky,24.2231,-107.1869,Mi casa
480,Yeppoon,AU,83.98,clear sky,-23.1333,150.7333,Villa Mar Colina
487,Hargeysa,SO,78.12,few clouds,9.56,44.065,City Center Hotel
488,Byron Bay,AU,78.71,overcast clouds,-28.65,153.6167,Backpackers Inn
489,Noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
490,Malakal,SS,76.78,overcast clouds,9.5334,31.6605,Nile Palace Hotel
492,Kalengwa,ZM,76.75,clear sky,-13.4659,25.0027,
496,Porangatu,BR,75.72,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
498,Atar,MR,82.94,clear sky,20.5169,-13.0499,Oumou Elghoura
501,Jutai,BR,76.68,moderate rain,-5.1833,-68.9,
503,Vaitape,PF,77.67,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
512,Kudahuvadhoo,MV,82.08,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
513,Machiques,VE,75.2,overcast clouds,10.0644,-72.545,hotel el markes
519,Ternate,ID,84.88,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
521,Montepuez,MZ,75.51,broken clouds,-13.1256,38.9997,PembaAparthotel
522,Gao,ML,85.42,few clouds,16.6362,1.637,
525,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
529,Kavaratti,IN,81.43,few clouds,10.5669,72.642,Green leaf
538,Ende,ID,86.83,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
540,Charters Towers,AU,89.37,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
545,Sur,OM,86.34,clear sky,22.5667,59.5289,Sur Plaza Hotel
547,San Andres,CO,75.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
557,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
571,Sao Miguel Do Araguaia,BR,76.26,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
572,Sihora,IN,83.53,overcast clouds,23.4833,80.1167,Hotel Yash Raj Sihora
573,Bhadrak,IN,87.71,few clouds,21.0633,86.5054,Hotel bluevine
576,Jacareacanga,BR,76.1,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
577,Beroroha,MG,89.01,clear sky,-21.6667,45.1667,
578,Itarema,BR,77.49,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
586,Khudumelapye,BW,76.78,clear sky,-23.8833,24.75,
589,Lukulu,ZM,77.41,clear sky,-14.3707,23.242,Ruth Guest House
591,Yulara,AU,75.11,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
592,Fare,PF,78.12,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
593,Emerald,AU,85.33,scattered clouds,-23.5333,148.1667,The Irish Village
595,Nha Trang,VN,75.2,moderate rain,12.25,109.1833,Hanoi Golden Hotel
596,Oussouye,SN,77.61,moderate rain,12.485,-16.5469,Auberge du Routard
602,Kawalu,ID,80.87,overcast clouds,-7.3817,108.2082,West Jontor
605,Kahului,US,82.42,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
606,Nago,JP,83.25,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
609,Seybaplaya,MX,76.23,few clouds,19.65,-90.6667,sala de fiesta san Rafael
611,Arvi,IN,82.09,overcast clouds,20.9833,78.2333,Geet shirbhate
613,Saint-Leu,RE,76.96,broken clouds,-21.15,55.2833,La Caz Oceane
615,Attingal,IN,85.68,broken clouds,8.6833,76.8333,Government Guest House
617,Roebourne,AU,87.12,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
618,Rantepao,ID,81.03,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
623,Black River,JM,77.43,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
630,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
631,Nueva Gerona,CU,80.31,few clouds,21.8833,-82.8,Casa de la Alegria
638,Ratnagiri,IN,83.08,broken clouds,16.9833,73.3,Hotel Landmark
639,Tsabong,BW,79.61,clear sky,-26.0217,22.401,Springbok Motel
648,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
651,Galle,LK,82.17,overcast clouds,6.0367,80.217,Amangalla
657,Kismayo,SO,80.29,light rain,-0.3582,42.5454,Agan-Hotel
658,Srikakulam,IN,84.78,broken clouds,18.3,83.9,Micro Systems
660,Kendari,ID,85.73,overcast clouds,-3.945,122.4989,Hotel Wixel
661,Bakel,SN,80.71,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
664,Daru,PG,81.05,overcast clouds,-9.0763,143.2092,Daru Lodge
666,Tecoanapa,MX,77.97,broken clouds,16.5167,-98.75,Hotel Manglares
667,Fonte Boa,BR,77.34,broken clouds,-2.4959,-66.2662,
670,Mana,GF,77.16,scattered clouds,5.6592,-53.7767,LE SAMANA
672,Mayumba,GA,75.7,overcast clouds,-3.432,10.6554,LIKWALE LODGE
676,Manokwari,ID,83.88,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
684,Buala,SB,83.52,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
